algorithm,n,height,time
FFDH,10,3.3916,7.5e-06
NFDH,10,3.91305,1.9e-06
SF,10,3.3916,9.5e-06
FFDH,20,7.70801,1.1e-05
NFDH,20,8.47498,3e-06
SF,20,8.4615,1.53e-05
FFDH,30,8.21478,1.71e-05
NFDH,30,9.83002,3.7e-06
SF,30,8.98443,2.06e-05
FFDH,40,12.7571,1.99e-05
NFDH,40,15.4285,5.4e-06
SF,40,13.0259,3.01e-05
FFDH,50,12.3614,2.32e-05
NFDH,50,13.1754,5.9e-06
SF,50,12.6075,3.42e-05
FFDH,60,16.745,2.75e-05
NFDH,60,20.255,6.5e-06
SF,60,16.5556,3.52e-05
FFDH,70,18.2144,3.56e-05
NFDH,70,22.1867,7.7e-06
SF,70,20.0008,4.21e-05
FFDH,80,23.3134,4e-05
NFDH,80,26.3284,9.2e-06
SF,80,22.4283,4.82e-05
FFDH,90,27.9146,4.42e-05
NFDH,90,31.7131,9.8e-06
SF,90,28.6758,5.14e-05
FFDH,100,27.111,3.77e-05
NFDH,100,31.5748,8.1e-06
SF,100,27.3221,4.33e-05
FFDH,110,31.2701,4.14e-05
NFDH,110,39.4833,8.4e-06
SF,110,34.062,4.92e-05
FFDH,120,37.3031,4.73e-05
NFDH,120,44.1172,9.1e-06
SF,120,39.8889,5.18e-05
FFDH,130,35.152,5.64e-05
NFDH,130,44.4408,1.3e-05
SF,130,36.3707,5.91e-05
FFDH,140,39.4647,5.54e-05
NFDH,140,46.9892,1.1e-05
SF,140,40.953,6.44e-05
FFDH,150,47.1622,6.44e-05
NFDH,150,56.9181,1.94e-05
SF,150,50.2173,0.0001207
FFDH,160,38.8688,0.000117
NFDH,160,46.8415,2.55e-05
SF,160,40.6617,0.0001268
FFDH,170,49.1632,0.0001108
NFDH,170,58.2366,2.22e-05
SF,170,51.8138,0.00012
FFDH,180,49.1685,0.0001203
NFDH,180,58.0002,2.34e-05
SF,180,53.991,0.0001294
FFDH,190,47.377,0.0001151
NFDH,190,57.7133,2.42e-05
SF,190,50.9528,9.6e-05
FFDH,200,52.8636,7.82e-05
NFDH,200,64.9418,1.46e-05
SF,200,58.2177,9.43e-05
FFDH,210,61.5957,8.22e-05
NFDH,210,72.9166,1.46e-05
SF,210,67.8606,8.49e-05
FFDH,220,60.9649,8.17e-05
NFDH,220,74.0877,1.49e-05
SF,220,64.4406,8.46e-05
FFDH,230,56.5777,8.76e-05
NFDH,230,68.1823,1.61e-05
SF,230,62.7452,8.85e-05
FFDH,240,76.8945,0.0001041
NFDH,240,85.6826,1.85e-05
SF,240,82.3249,0.0001105
FFDH,250,79.6537,0.0001189
NFDH,250,95.7058,1.7e-05
SF,250,83.5839,0.0001087
FFDH,260,66.5416,0.0001126
NFDH,260,82.305,2.1e-05
SF,260,71.1107,0.0001097
FFDH,270,85.7824,0.0001241
NFDH,270,101.78,2.11e-05
SF,270,91.7861,0.0001243
FFDH,280,71.6479,0.0001257
NFDH,280,87.6591,2.2e-05
SF,280,77.1471,0.0001199
FFDH,290,84.155,0.0001376
NFDH,290,99.1117,2.3e-05
SF,290,89.1078,0.0001343
FFDH,300,78.5352,0.0001377
NFDH,300,96.0004,2.57e-05
SF,300,83.1054,0.0001293
FFDH,310,85.8564,0.0001424
NFDH,310,108.021,2.65e-05
SF,310,92.4934,0.0001389
FFDH,320,90.2187,0.0001625
NFDH,320,111.196,3.04e-05
SF,320,96.8812,0.0001413
FFDH,330,87.2769,0.0001543
NFDH,330,106.646,2.86e-05
SF,330,94.4272,0.000148
FFDH,340,88.3924,0.000158
NFDH,340,107.51,2.79e-05
SF,340,95.0347,0.0001543
FFDH,350,89.7545,0.0001665
NFDH,350,113.861,2.93e-05
SF,350,96.452,0.0001576
FFDH,360,97.7421,0.0001779
NFDH,360,122.984,2.93e-05
SF,360,108.285,0.0001647
FFDH,370,96.9326,0.0002049
NFDH,370,117.486,3.08e-05
SF,370,101.571,0.0001879
FFDH,380,93.0996,0.0002145
NFDH,380,115.401,3.05e-05
SF,380,101.424,0.0002199
FFDH,390,109.653,0.000189
NFDH,390,132.848,3.23e-05
SF,390,118.165,0.0001694
FFDH,400,99.6602,0.0001895
NFDH,400,123.091,3.19e-05
SF,400,104.004,0.0001748
FFDH,410,113.414,0.0002018
NFDH,410,139.44,3.3e-05
SF,410,124.453,0.0001865
FFDH,420,109.12,0.0002128
NFDH,420,134.566,3.22e-05
SF,420,118.078,0.000191
FFDH,430,120.682,0.000217
NFDH,430,145.498,3.5e-05
SF,430,131.315,0.0002145
FFDH,440,119.477,0.0002379
NFDH,440,148.135,3.15e-05
SF,440,128.628,0.0002188
FFDH,450,119.283,0.0002371
NFDH,450,144.136,3.24e-05
SF,450,130.398,0.0002261
FFDH,460,133.992,0.0002471
NFDH,460,167.522,3.42e-05
SF,460,144.93,0.0002286
FFDH,470,126.529,0.000276
NFDH,470,155.184,3.61e-05
SF,470,138.099,0.0004102
FFDH,480,130.957,0.0002718
NFDH,480,162.266,3.65e-05
SF,480,141.031,0.0002449
FFDH,490,132.769,0.0002928
NFDH,490,165.712,3.76e-05
SF,490,145.409,0.0002651
FFDH,500,129.786,0.0002992
NFDH,500,160.797,3.91e-05
SF,500,142.281,0.0002539
FFDH,510,127.52,0.0002888
NFDH,510,158.731,4e-05
SF,510,137.955,0.0002495
FFDH,520,142.229,0.0003227
NFDH,520,177.505,4.5e-05
SF,520,154.568,0.0003334
FFDH,530,142.594,0.0003179
NFDH,530,174.953,4.68e-05
SF,530,153.528,0.0002953
FFDH,540,142.062,0.000342
NFDH,540,174.723,4.6e-05
SF,540,154.489,0.0003093
FFDH,550,151.186,0.0003444
NFDH,550,189.846,4.54e-05
SF,550,162.505,0.0003099
FFDH,560,159.253,0.0003554
NFDH,560,197.585,4.98e-05
SF,560,169.566,0.0003235
FFDH,570,154.462,0.0003537
NFDH,570,191.389,5.19e-05
SF,570,168.72,0.0003362
FFDH,580,158.269,0.0003678
NFDH,580,193.715,5.26e-05
SF,580,168.723,0.0003256
FFDH,590,157.07,0.0003857
NFDH,590,191.353,5.21e-05
SF,590,170.073,0.0003498
FFDH,600,157.253,0.0003914
NFDH,600,195.036,5.43e-05
SF,600,169.262,0.0004343
FFDH,610,161.168,0.0004639
NFDH,610,199.644,5.9e-05
SF,610,176.207,0.0003639
FFDH,620,177.552,0.0004094
NFDH,620,222.479,5.71e-05
SF,620,193.907,0.0003723
FFDH,630,165.97,0.0004001
NFDH,630,211.342,5.95e-05
SF,630,181.95,0.0003504
FFDH,640,158.652,0.0004081
NFDH,640,198.003,8.35e-05
SF,640,168.855,0.000348
FFDH,650,172.222,0.0004646
NFDH,650,211.859,5.93e-05
SF,650,189.585,0.0003778
FFDH,660,180.606,0.0004579
NFDH,660,222.597,5.82e-05
SF,660,197.109,0.0004079
FFDH,670,176.042,0.0004576
NFDH,670,217.522,6.16e-05
SF,670,188.796,0.0003891
FFDH,680,178.133,0.0004686
NFDH,680,222.959,6.07e-05
SF,680,194.415,0.0003972
FFDH,690,181.939,0.0004777
NFDH,690,229.745,6.1e-05
SF,690,200.376,0.0004118
FFDH,700,187.487,0.000511
NFDH,700,233.133,6.26e-05
SF,700,205.296,0.0004183
FFDH,710,203.473,0.0005002
NFDH,710,250.31,6.33e-05
SF,710,220.743,0.0004298
FFDH,720,189.688,0.0005028
NFDH,720,237.95,6.36e-05
SF,720,207.261,0.0004369
FFDH,730,191.708,0.0005073
NFDH,730,237.717,6.48e-05
SF,730,205.427,0.0004455
FFDH,740,198.545,0.0005893
NFDH,740,250.812,6.41e-05
SF,740,213.183,0.0004507
FFDH,750,204.277,0.000543
NFDH,750,254.52,6.39e-05
SF,750,218.906,0.0005028
FFDH,760,213.914,0.0005657
NFDH,760,265.273,6.37e-05
SF,760,235.815,0.0004518
FFDH,770,207.007,0.0005482
NFDH,770,257.968,6.44e-05
SF,770,222.783,0.0004609
FFDH,780,208.059,0.0005464
NFDH,780,260.452,6.44e-05
SF,780,228.93,0.0004716
FFDH,790,215.425,0.0005666
NFDH,790,265.158,6.72e-05
SF,790,233.113,0.0004827
FFDH,800,232.016,0.0006194
NFDH,800,284.481,6.67e-05
SF,800,254.94,0.0006143
FFDH,810,217.189,0.0005906
NFDH,810,265.895,6.65e-05
SF,810,237.192,0.000496
FFDH,820,221.641,0.0006225
NFDH,820,271.358,7.87e-05
SF,820,239.793,0.0005435
FFDH,830,218.04,0.0006161
NFDH,830,271.831,7.11e-05
SF,830,239.239,0.000519
FFDH,840,225.738,0.0006493
NFDH,840,277.136,7.03e-05
SF,840,247.651,0.0005476
FFDH,850,223.167,0.0007498
NFDH,850,278.121,7.43e-05
SF,850,245.544,0.0005407
FFDH,860,228.495,0.000635
NFDH,860,290.219,6.85e-05
SF,860,253.213,0.0005213
FFDH,870,225.965,0.0006403
NFDH,870,281.799,0.0001293
SF,870,245.99,0.0005556
FFDH,880,241.508,0.0007226
NFDH,880,302.786,7.54e-05
SF,880,264.975,0.0005904
FFDH,890,234.594,0.0006755
NFDH,890,292.833,7.46e-05
SF,890,256.725,0.0005999
FFDH,900,241.855,0.0007378
NFDH,900,305.873,7.55e-05
SF,900,267.102,0.0006079
FFDH,910,232.075,0.0007077
NFDH,910,286.789,7.41e-05
SF,910,250.55,0.0005779
FFDH,920,233.545,0.0007326
NFDH,920,295.384,7.64e-05
SF,920,252.787,0.0006182
FFDH,930,246.933,0.0007802
NFDH,930,306.849,7.69e-05
SF,930,269.954,0.000628
FFDH,940,250.924,0.0007788
NFDH,940,313.263,7.82e-05
SF,940,273.741,0.0006397
FFDH,950,266.834,0.0007974
NFDH,950,330.378,7.84e-05
SF,950,292.367,0.000648
FFDH,960,245.921,0.0008284
NFDH,960,316.456,7.8e-05
SF,960,269.062,0.0006276
FFDH,970,260.79,0.0008778
NFDH,970,329.331,8.5e-05
SF,970,286.505,0.0007136
FFDH,980,257.501,0.0008463
NFDH,980,323.373,9.65e-05
SF,980,278.441,0.0006659
FFDH,990,259.896,0.0008672
NFDH,990,322.885,8.02e-05
SF,990,280.213,0.0006671
FFDH,1000,273.653,0.0008615
NFDH,1000,340.299,8.14e-05
SF,1000,298.727,0.0006835
FFDH,1010,261.399,0.0008692
NFDH,1010,327.126,8.42e-05
SF,1010,286.914,0.0007139
FFDH,1020,285.516,0.0009299
NFDH,1020,357.327,8.99e-05
SF,1020,315.153,0.0007774
FFDH,1030,272.331,0.0008709
NFDH,1030,336.572,9.68e-05
SF,1030,299.195,0.0007176
FFDH,1040,265.44,0.0008912
NFDH,1040,336.927,9.49e-05
SF,1040,289.946,0.0006812
FFDH,1050,283.215,0.0009221
NFDH,1050,356.816,9.56e-05
SF,1050,314.108,0.0008364
FFDH,1060,292.315,0.0009934
NFDH,1060,370.664,9.55e-05
SF,1060,320.341,0.000766
FFDH,1070,275.385,0.0009758
NFDH,1070,349.092,9.5e-05
SF,1070,302.214,0.0007604
FFDH,1080,297.625,0.0009942
NFDH,1080,376.867,9.59e-05
SF,1080,325.879,0.0007771
FFDH,1090,277.553,0.0009727
NFDH,1090,347.862,9.3e-05
SF,1090,306.984,0.0007725
FFDH,1100,302.324,0.0009908
NFDH,1100,374.613,0.0001001
SF,1100,330.536,0.0008171
FFDH,1110,287.081,0.001008
NFDH,1110,364.429,9.78e-05
SF,1110,320.882,0.0007745
FFDH,1120,291.274,0.0010511
NFDH,1120,358.273,9.69e-05
SF,1120,317.287,0.0008426
FFDH,1130,304.976,0.0010441
NFDH,1130,383.56,9.64e-05
SF,1130,337.82,0.0008557
FFDH,1140,298.717,0.0010693
NFDH,1140,373.295,0.000102
SF,1140,333.101,0.0008617
FFDH,1150,318.277,0.0010861
NFDH,1150,401.235,0.0001044
SF,1150,352.152,0.0008804
FFDH,1160,302.141,0.0010695
NFDH,1160,385.826,0.0001029
SF,1160,334.076,0.0008765
FFDH,1170,314.817,0.0011011
NFDH,1170,391.818,0.0001052
SF,1170,345.653,0.0008843
FFDH,1180,306.04,0.0011085
NFDH,1180,389.731,0.0001071
SF,1180,335.478,0.0008938
FFDH,1190,314.109,0.00112
NFDH,1190,398.149,0.0001122
SF,1190,351.935,0.0010993
FFDH,1200,325.822,0.0011894
NFDH,1200,402.532,0.0001126
SF,1200,351.338,0.0009726
FFDH,1210,308.415,0.0019201
NFDH,1210,389.538,0.0001209
SF,1210,336.44,0.0009049
FFDH,1220,313.814,0.0012178
NFDH,1220,394.037,0.0001181
SF,1220,347.166,0.0009658
FFDH,1230,337.636,0.0011784
NFDH,1230,424.5,0.0001194
SF,1230,375.576,0.0009754
FFDH,1240,330.78,0.0011838
NFDH,1240,405.905,0.0001185
SF,1240,360.31,0.0009703
FFDH,1250,329.948,0.0012125
NFDH,1250,412.71,0.0001197
SF,1250,361.263,0.0010478
FFDH,1260,338.185,0.0015173
NFDH,1260,426.671,0.0001218
SF,1260,375.107,0.0010455
FFDH,1270,328.158,0.0012583
NFDH,1270,416.085,0.0001199
SF,1270,357.591,0.0009809
FFDH,1280,338.249,0.0013253
NFDH,1280,427.3,0.0001233
SF,1280,373.944,0.0010459
FFDH,1290,359.318,0.0013093
NFDH,1290,448.236,0.0001224
SF,1290,398.946,0.0010601
FFDH,1300,345.437,0.001357
NFDH,1300,427.209,0.0001241
SF,1300,376.424,0.0010644
FFDH,1310,340.762,0.0014098
NFDH,1310,427.041,0.0001252
SF,1310,379.368,0.0010711
FFDH,1320,352.809,0.0015526
NFDH,1320,447.041,0.0004849
SF,1320,388.475,0.0011024
FFDH,1330,376.538,0.0014097
NFDH,1330,466.63,0.0001262
SF,1330,415.052,0.0012202
FFDH,1340,357.18,0.0013485
NFDH,1340,443.947,0.000118
SF,1340,386.127,0.0010648
FFDH,1350,369.09,0.0014097
NFDH,1350,460.144,0.0001181
SF,1350,406.477,0.0011256
FFDH,1360,374.728,0.001446
NFDH,1360,470.646,0.0001269
SF,1360,418.171,0.0011166
FFDH,1370,376.16,0.0014655
NFDH,1370,464.831,0.0001401
SF,1370,415.002,0.0013586
FFDH,1380,371.99,0.0015248
NFDH,1380,474.668,0.000127
SF,1380,411.533,0.0011118
FFDH,1390,386.509,0.0015207
NFDH,1390,484.731,0.00013
SF,1390,423.667,0.0012059
FFDH,1400,382.236,0.0015655
NFDH,1400,482.03,0.0001349
SF,1400,416.72,0.0012212
FFDH,1410,380.501,0.0014944
NFDH,1410,472.781,0.0001169
SF,1410,420.296,0.0011584
FFDH,1420,366.162,0.0014872
NFDH,1420,451.158,0.0001297
SF,1420,401.961,0.0012084
FFDH,1430,366.495,0.0015042
NFDH,1430,460.659,0.0001185
SF,1430,400.353,0.0011476
FFDH,1440,377.247,0.0015918
NFDH,1440,475.134,0.0001228
SF,1440,414.029,0.001194
FFDH,1450,382.534,0.0015762
NFDH,1450,478.086,0.0001359
SF,1450,419.834,0.0012138
FFDH,1460,384.749,0.0016451
NFDH,1460,482.685,0.0001395
SF,1460,425.745,0.0013406
FFDH,1470,384.736,0.0016064
NFDH,1470,489.608,0.000129
SF,1470,419.151,0.0012138
FFDH,1480,377.362,0.0016423
NFDH,1480,471.254,0.000137
SF,1480,417.919,0.0012332
FFDH,1490,387.676,0.001658
NFDH,1490,487.867,0.0001384
SF,1490,424.216,0.001249
FFDH,1500,405.424,0.0017237
NFDH,1500,512.735,0.0001347
SF,1500,440.437,0.0013097
FFDH,1510,399.183,0.0017396
NFDH,1510,498.751,0.0001395
SF,1510,440.559,0.0013173
FFDH,1520,423.087,0.001715
NFDH,1520,529.975,0.0001357
SF,1520,465.333,0.0014131
FFDH,1530,411.198,0.0017438
NFDH,1530,514.53,0.0001347
SF,1530,450.591,0.0013121
FFDH,1540,411.153,0.0017343
NFDH,1540,519.922,0.0001467
SF,1540,454.176,0.0013439
FFDH,1550,415.108,0.0017659
NFDH,1550,521.353,0.0001412
SF,1550,456.967,0.0013776
FFDH,1560,405.853,0.0017958
NFDH,1560,511.249,0.0001399
SF,1560,445.394,0.0013451
FFDH,1570,424.14,0.0018759
NFDH,1570,536.527,0.0001381
SF,1570,469.607,0.0013992
FFDH,1580,412.773,0.0017986
NFDH,1580,518.27,0.0001292
SF,1580,452.658,0.0013646
FFDH,1590,426.55,0.001882
NFDH,1590,531.001,0.0001449
SF,1590,466.608,0.0014389
FFDH,1600,431.215,0.0018581
NFDH,1600,554.194,0.0001285
SF,1600,477.743,0.0014021
FFDH,1610,439.986,0.0018969
NFDH,1610,561.002,0.0001291
SF,1610,486.887,0.0015444
FFDH,1620,433.919,0.0018832
NFDH,1620,545.962,0.0001465
SF,1620,476.609,0.0014329
FFDH,1630,436.325,0.0019802
NFDH,1630,550.995,0.0001595
SF,1630,480.31,0.0014998
FFDH,1640,419.127,0.0019851
NFDH,1640,532.413,0.0001339
SF,1640,471.881,0.0014666
FFDH,1650,426.619,0.0019953
NFDH,1650,542.293,0.0001475
SF,1650,471.906,0.001534
FFDH,1660,446.442,0.0020551
NFDH,1660,563.391,0.000152
SF,1660,496.438,0.0015178
FFDH,1670,434.464,0.0019949
NFDH,1670,550.109,0.0001348
SF,1670,481.741,0.0016599
FFDH,1680,442.698,0.0021009
NFDH,1680,558.931,0.0001548
SF,1680,490.06,0.0015153
FFDH,1690,445.249,0.0020194
NFDH,1690,558.064,0.0001322
SF,1690,492.348,0.0017751
FFDH,1700,452.024,0.0020513
NFDH,1700,560.053,0.0001411
SF,1700,500.862,0.0015368
FFDH,1710,445.793,0.0021386
NFDH,1710,566.408,0.0001486
SF,1710,496.933,0.0016582
FFDH,1720,452.636,0.0021718
NFDH,1720,585.769,0.0001441
SF,1720,497.641,0.0015866
FFDH,1730,477.545,0.0021921
NFDH,1730,604.185,0.0001389
SF,1730,528.154,0.0016675
FFDH,1740,459.63,0.0021694
NFDH,1740,582.131,0.0001868
SF,1740,505.973,0.001591
FFDH,1750,468.992,0.0022065
NFDH,1750,589.374,0.0001541
SF,1750,516.202,0.0016569
FFDH,1760,479.553,0.0022511
NFDH,1760,598.4,0.0001516
SF,1760,536.642,0.0016254
FFDH,1770,476.14,0.002497
NFDH,1770,596.416,0.0001433
SF,1770,521.179,0.0017033
FFDH,1780,483.472,0.0023363
NFDH,1780,613.137,0.0001378
SF,1780,540.319,0.001748
FFDH,1790,482.52,0.0022986
NFDH,1790,616.509,0.0001493
SF,1790,537.308,0.0021545
FFDH,1800,465.552,0.0024175
NFDH,1800,592.71,0.0001556
SF,1800,518.138,0.001634
FFDH,1810,488.231,0.0023652
NFDH,1810,614.531,0.0001561
SF,1810,540.08,0.0018021
FFDH,1820,487.235,0.0024444
NFDH,1820,610.533,0.0001434
SF,1820,541.687,0.0018074
FFDH,1830,480.102,0.0025675
NFDH,1830,606.464,0.0001549
SF,1830,526.663,0.0019164
FFDH,1840,497.937,0.0024186
NFDH,1840,625.802,0.000149
SF,1840,545.686,0.0018179
FFDH,1850,481.417,0.0024571
NFDH,1850,612.186,0.0001622
SF,1850,530.48,0.0017995
FFDH,1860,487.334,0.0025144
NFDH,1860,617.447,0.0001537
SF,1860,544.381,0.0018717
FFDH,1870,487.847,0.0026758
NFDH,1870,619.682,0.0001475
SF,1870,525.232,0.0017699
FFDH,1880,497.617,0.0025206
NFDH,1880,620.825,0.0001616
SF,1880,544.144,0.001836
FFDH,1890,499.851,0.0025603
NFDH,1890,634.808,0.0001582
SF,1890,552.911,0.0018801
FFDH,1900,511.106,0.0027006
NFDH,1900,647.106,0.0001547
SF,1900,567.44,0.0019275
FFDH,1910,504.375,0.0025488
NFDH,1910,639.681,0.0001467
SF,1910,553.396,0.0018201
FFDH,1920,493.116,0.0025458
NFDH,1920,616.272,0.0001577
SF,1920,543.826,0.0018504
FFDH,1930,490.455,0.0026664
NFDH,1930,613.093,0.0001734
SF,1930,539.136,0.0019564
FFDH,1940,511.559,0.0026266
NFDH,1940,641.823,0.0001553
SF,1940,561.565,0.0020112
FFDH,1950,488.333,0.0026789
NFDH,1950,614.488,0.000166
SF,1950,542.267,0.0019083
FFDH,1960,514.207,0.002728
NFDH,1960,645.19,0.0001509
SF,1960,568.457,0.0021605
FFDH,1970,532.429,0.0027567
NFDH,1970,669.261,0.0001503
SF,1970,589.605,0.003304
FFDH,1980,507.913,0.0050669
NFDH,1980,650.899,0.0001506
SF,1980,565.358,0.0021025
FFDH,1990,513.354,0.0028047
NFDH,1990,647.716,0.0001531
SF,1990,568.407,0.0021791
FFDH,2000,514.418,0.0028891
NFDH,2000,649.39,0.0001733
SF,2000,562.97,0.0019753
FFDH,2010,534.651,0.0029567
NFDH,2010,676.552,0.0001755
SF,2010,593.301,0.0021454
FFDH,2020,523.227,0.0029131
NFDH,2020,661.871,0.0001722
SF,2020,579.415,0.0023279
FFDH,2030,533.533,0.0030721
NFDH,2030,667.333,0.0001579
SF,2030,589.397,0.0022218
FFDH,2040,554.57,0.0031031
NFDH,2040,710.203,0.0001663
SF,2040,616.713,0.002121
FFDH,2050,538.64,0.0029064
